"","N_coeff","slope_mq","RMSD_mq","MAD_mq","R2_mq","slope_mc","RMSD_mc","MAD_mc","R2_mc","slope_mT","RMSD_mT","MAD_mT","R2_mT","slope_cq","RMSD_cq","MAD_cq","R2_cq"
"20150713 12:00",4088,0.00337102644722192,0.00576577240073722,0.0027656679413657,0.823862646935552,-0.000528331631523548,0.00611266106766295,0.00289308507538622,0.802031037331503,0.0144683845798852,0.0120273113615858,0.00514198517937589,0.233568079807155,-6.29987975149331,3.20516032458611,1.00409208595476,0.977854234053048
"20150713 13:00",4088,0.00372983803432556,0.0097759215180131,0.0039935735908231,0.687485710686288,-0.000636032803474437,0.00998318862242762,0.00422807106648967,0.674093501349622,0.00933862358100482,0.0170873153619622,0.00675229493949753,0.0452225866506315,-5.71412261986802,2.94145202084693,0.88593751951629,0.978731540373812
"20150713 15:00",4080,0.00501885454325405,0.00724437102631604,0.00393844255761782,0.793648128168902,-0.000961762165584105,0.00809210847376863,0.00434061635507136,0.742527746325043,-0.022018722730994,0.0164352297068863,0.00763512928933225,-0.0620833475817559,-4.98648201948824,2.10131939646095,0.938267402724444,0.978483496260234
"20150713 16:00",4080,0.0056527802822371,0.00637624868645642,0.0032823553446278,0.817848378521281,-0.00127457233474374,0.00797275400512015,0.00393156399905934,0.715213579973127,-0.0388758765706449,0.00986751482844962,0.00485104156534647,0.563767394726213,-4.11425716106759,1.99011606933919,0.877949734688592,0.961451993362468
"20150713 20:00",2040,0.028194272167614,0.00997107304103163,0.00634486426402167,0.862495009269722,0.00128076607111015,0.00889632821648775,0.00600875385010069,0.890539794220191,-0.015376382577943,0.0124418664826839,0.00668507892017878,0.785905387447392,21.8771218959879,4.02197439085622,1.80003328510142,0.955860507042233
"20150714 12:30",4080,0.0038911566728687,0.0051972074877594,0.00266130625076003,0.841082795400289,-0.000677564359603871,0.00586908147103503,0.00297529006531645,0.797338579467685,0.0222069486932681,0.0105502368598203,0.00591343536668631,0.345129803330073,-5.51354980627551,2.21685763273258,0.943333725944732,0.982544463046266
"20150714 16:30",4088,0.00408814622202015,0.00760858193072273,0.00367470586079184,0.650219020397564,-0.000805200304359675,0.00965148067272521,0.00397782300299035,0.437170778739095,-0.0255715333548197,0.0108652335362774,0.00477695629843421,0.286708781258754,-4.37688309233303,3.57033688983144,1.26377972879566,0.917289000826905
"20150715 08:00",2040,0.00138754504212512,0.00208768773265325,0.00115018091856586,0.575176354900749,-0.000145980914236842,0.00233129890877181,0.00116857070767861,0.47024687998519,0.00386812470356659,0.00315951806783553,0.00169943047452935,0.0269855523271946,-8.90197990292478,3.71704101861086,1.13186191290096,0.937920183467631
"20150717 09:30",4088,0.000495411245177341,0.000777148461670538,0.000314847517120502,0.66046159968903,-5.60318880006942e-05,0.000837140169848149,0.000322182319352099,0.606017185258819,0.00176131589374628,0.000911830017714022,0.000392773192427191,0.532578499477142,-8.64813045174744,2.65818008837876,0.675957342913908,0.978303597826179
"20150717 13:30",2040,0.000491940715420951,0.00206476344075585,0.000771929102041257,0.697213654086444,-6.84064923747458e-05,0.00216638305026202,0.000816428078805547,0.66667630972153,-0.000395132234024301,0.00375829334993093,0.00148697405068292,-0.00317577041355244,-7.02224679768466,6.69770850368206,1.98675148642198,0.969027268176164
"20150717 17:00",2040,0.000658544201141781,0.00194891523199837,0.000833456627328248,0.730180430452332,-0.00012419884103573,0.00196066961830884,0.000848519420647237,0.726915919362947,-0.00283315555383249,0.00329295368243862,0.00107134174152954,0.229701965820086,-5.18528722158865,2.77908418491277,0.889994682277396,0.983668274137723
"20150718 09:30",2040,0.000530066276240961,0.00099056361640722,0.000506199009905142,0.742841142873796,-6.26348578417116e-05,0.00105695475290826,0.000511507797478522,0.707214520346017,0.00186036419170886,0.00119613981614542,0.000610907444827031,0.625026448031796,-8.317284869426,3.24608974771605,0.989477467278977,0.982764200478055
"20150719 15:30",2044,0.000592466257280799,0.0030227680972995,0.00122140629280971,0.718781144245643,-0.000106164863283685,0.00321589785742056,0.00126489902874955,0.681698071748098,-0.00365834342130001,0.00630360916476057,0.001767336312416,-0.222963043636541,-5.50760932049829,8.66859626454153,1.62045165780775,0.954926208912245
"20150719 16:00",2040,0.000662417401912838,0.00248314714427078,0.00113121045146836,0.727030162979702,-0.000124256713121395,0.00248434131447804,0.00115434400261867,0.72676755201901,-0.00391594411979924,0.00432387914538328,0.00162168747991141,0.172330706684808,-5.34520777683872,3.31725585963805,1.19884001671032,0.988200594034342
"20150724 10:00",511,0.000896762286683145,0.00538287956723902,0.002064472361257,0.616038798805444,-8.32982870924974e-05,0.00564059633972853,0.00226218951701552,0.578392762556307,0.00141193411117971,0.00735424723592917,0.00328650157117429,0.283304847756347,-11.029771567455,22.7049372031994,8.65288842893472,0.90777011707379
"20150726 11:30",2044,0.000809884142718039,0.0038232834887806,0.00151142004521133,0.660641731137186,-0.000124366781984857,0.00452303934281764,0.00154993135417389,0.525051889785904,0.00277165583229041,0.00507743685951406,0.00182121547761456,0.401485748461568,-6.37697346363554,8.58784766266641,1.94107225166667,0.94203949235478
