 index  w  T  q  CO2  CH4
          32  0.36817042700704383        3.1576032638550373        9.9238141179084778       -186.11459350585938        2.3732692236080766E-002
          32  0.37661422026576452       -6.3128843307494549       -10.951101720333099        171.11966896057129       -1.3513632817193866E-002
          32   3.0458769324850414        6.5948543548583984        14.754256010055542       -254.95328903198242        2.4248545290902257E-002
          32 -0.89932377481227310       -10.412230491638240       -21.652707934379521        360.33568572998047       -2.9014190426096320E-002
          32  -1.1214110140598439        1.8834133148192223        6.1474466323852539       -110.39803886413392        5.2413439843803644E-003
          32  0.91805150518302892        1.2514600753785317        3.9353508949279785       -70.313291549684436        9.0020429342985153E-003
          32 -0.30830174812263023       0.43319797515869141       0.37372267246246338       -13.109811782836914       -6.1191967688523086E-004
          32  0.13616513254419238       -1.4781312942504883       -3.2211951017380329        56.070510864257812       -6.8718933034688234E-003
          32   1.3847896741835928        6.8823890686034588        15.804543793201447       -269.74263381958008        2.1614545257762074E-002
          32  -1.3900076114805402       0.31956195831304512        1.2275111079216572       -23.210851669311523        1.9537836778908968E-003
          32   1.3546863172318795        3.5266876220702557        11.047597527503967       -172.30156898498717        2.0856222137808578E-002
          32   1.2280642141899976        1.8949203491212074        7.1338177919387249       -118.63630104064941        1.6797602409497125E-002
          32   1.1915945642795116        2.1212034225463867        6.5850234031677246       -120.29115295410156        7.0893212687224150E-003
          32  0.14783431805335567       0.26235198974615059      -0.76130104064941406        10.387571334838867        3.0312833841890097E-003
          32  -3.2053813854886331       -11.258749008178654       -18.601552188396397        281.47028923034850       -3.2458989880979061E-003
          32   1.6651203319815964        6.6528825759887695        16.587045252323151       -282.16256713867188        1.0969349648803473E-002
          32  -1.1480207068225341       -4.1783370971679119       -8.7300988435745239        152.28650283813477       -1.1676108930259943E-002
          32  0.59618003087052740       -3.5956106185912518       -5.0580827593803406        31.697874069213867        4.4722587335856989E-003
          32   1.1880002939199117        1.4745235443116371        3.5856152772903442       -42.573404312133789        2.2478089667854473E-003
          32   1.3784469388328930        3.0804748535155682        9.4306633472442627       -163.30110168457031        1.5667751431465149E-002
          32 -0.31994251586274891       -2.3630428314208416       -1.2386029958724976        10.554691314697266        1.9220185931771994E-003
          64   3.3804676254384320        3.8201188679723259        9.5549783361012715       -173.59502498210259        1.3590086995483031E-002
          64  -1.0280559394333717       -1.7119820586268588       -3.5754225263004287        56.291066526116083       -3.7183658679308396E-003
          64  -1.7289469397192323       -1.9214593135713471       -5.8109778566513342        98.666333422850585       -1.0540693029274184E-002
          64  -2.8809024981776092       -5.4442264333280264       -13.457069874147948        221.53320923236788       -2.1882658564107649E-002
          64   4.7448054499351633        2.2676123919156908        3.0662997230568010       -45.142039588429725        4.8904130901912257E-003
          64 -0.51361043584465138       -2.2165223193256338       -7.4537907834320265        128.00739137812707       -1.9081118689462495E-002
          64   1.3446771628117371        5.0406282119865864E-002  0.85087735218363036       -16.196752004613700       -1.6990382451502750E-003
          64  0.45082118951634509      -0.94375492925428262       -1.1290269119241430        16.351766090388082       -4.3770885122031977E-003
          64   2.0594463706313415      -0.94074463274614573       -3.3893916474763159        62.551072523530820       -1.1779041854053762E-002
          64 -0.78989958557246531      -0.63351636063777050       -1.3123481698575290        26.319710206379568       -1.5156991248557183E-003
